,price,propertyType,size,priceByArea,floor,rooms,bathrooms,district,latitude,longitude,avgPriceZone,status,hasLift,hasAirConditioning,hasBoxRoom,hasTerrace,hasGarden,hasSwimmingPool,hasParkingSpace,parkingSpacePrice,statusInt,box_posto_auto,propertyTypeInt,garden_terrace,floorCat,liftCat,roomsCat,bathroomsCat
99,162000,flat,219,739,1,3,2,SU - KODADU,45.831552,8.7966058,2047,renew,0,0,0,1,0,0,0,0,1,0,3,1,0,0,3,2
100,165000,flat,53,3113,2,2,1,SU - KODADU,45.8382388,8.8110235,2047,good,1,0,0,1,0,0,1,0,2,1,3,1,1,1,2,1
101,165000,flat,90,1833,5,3,1,SU - KODADU,45.823961,8.8133402,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,1,1,3,1
102,165000,flat,160,1031,0,5,2,SU - KODADU,45.8213435,8.8212242,2047,renew,1,0,1,0,0,0,0,0,1,1,3,0,0,0,4,2
103,165000,flat,95,1736,5,3,1,SU - KODADU,45.8250411,8.8123679,2047,renew,1,0,1,0,0,0,1,0,1,1,3,0,1,1,3,1
104,165000,flat,100,1650,1,3,1,SU - KODADU,45.825979,8.8124828,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,1
105,165000,flat,100,1650,4,4,2,SU - KODADU,45.8359812,8.8039417,2047,renew,0,0,1,0,0,0,1,0,1,1,3,0,1,0,4,2
106,165000,flat,100,1650,2,3,2,SU - KODADU,45.8323046,8.81977,2047,renew,1,0,0,1,0,0,0,0,1,0,3,1,1,1,3,2
107,169000,flat,115,1469,2,3,2,SU - KODADU,45.8279302,8.7981869,2047,renew,1,0,0,0,1,0,1,0,1,1,3,1,1,1,3,2
108,169000,flat,47,3595,2,2,1,SU - KODADU,45.8298278,8.7916989,2047,newdevelopment,1,0,0,0,0,0,1,0,3,1,3,0,1,1,2,1
109,170000,flat,80,2125,3,2,1,SU - KODADU,45.8363567,8.8157137,2047,good,1,0,1,0,0,0,1,0,2,1,3,0,1,1,2,1
110,170000,flat,85,2000,0,3,1,SU - KODADU,45.8260126,8.7979108,2047,renew,0,0,1,0,1,0,1,0,1,1,3,1,0,0,3,1
111,170000,flat,100,1700,6,3,1,SU - KODADU,45.8235134,8.8149885,2047,renew,1,0,0,0,0,0,0,0,1,0,3,0,1,1,3,1
112,171375,flat,111,1543,2,3,2,SU - KODADU,45.8330268,8.8185331,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,1,0,3,2
113,171375,flat,110,1557,0,3,2,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,2
114,171375,flat,111,1543,2,6,2,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,1,0,4,2
115,171375,flat,111,1543,0,3,2,SU - KODADU,45.8348268,8.8177331,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,0,0,3,2
116,171375,flat,184,931,0,4,2,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,0,0,4,2
117,175000,flat,56,3125,0,2,1,SU - KODADU,45.8196966,8.8199026,2047,good,1,0,0,0,1,0,0,0,2,0,3,1,0,0,2,1
118,175000,flat,100,1750,4,3,1,SU - KODADU,45.8216581,8.8191727,2047,renew,1,0,1,0,0,0,1,0,1,1,3,0,1,1,3,1
119,175000,flat,90,1944,4,3,1,SU - KODADU,45.8217927,8.8191834,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,1,1,3,1
120,175000,flat,93,1881,4,3,1,SU - KODADU,45.8217927,8.8191834,2047,renew,1,0,1,0,0,0,1,0,1,1,3,0,1,1,3,1
121,175000,flat,120,1458,4,3,1,SU - KODADU,45.8213477,8.8218138,2047,renew,1,0,0,0,0,0,0,0,1,0,3,0,1,1,3,1
122,178000,flat,98,1816,1,3,1,SU - KODADU,45.8217946,8.8098055,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,0,0,3,1
123,179000,flat,60,2983,0,2,1,SU - KODADU,45.8242096,8.8234848,2047,good,0,0,0,0,1,0,0,0,2,0,3,1,0,0,2,1
124,180000,flat,115,1565,4,3,1,SU - KODADU,45.8213409,8.8218132,2047,renew,1,0,0,0,0,0,0,0,1,0,3,0,1,1,3,1
125,180000,flat,115,1565,4,3,2,SU - KODADU,45.8213409,8.8218132,2047,renew,1,0,0,1,0,0,0,0,1,0,3,1,1,1,3,2
126,180000,flat,110,1636,2,4,2,SU - KODADU,45.836324,8.8104424,2047,renew,1,0,0,0,0,0,0,0,1,0,3,0,1,1,4,2
127,199000,flat,69,2884,2,2,1,SU - KODADU,45.8333648,8.7987719,2047,good,1,0,1,1,0,0,1,17000,2,1,3,1,1,1,2,1
128,185000,flat,57,3245,0,2,1,SU - KODADU,45.8200966,8.8193026,2047,good,1,0,0,0,1,0,0,0,2,0,3,1,0,0,2,1
129,185000,flat,120,1541,3,2,2,SU - KODADU,45.8365316,8.8092992,2047,renew,1,0,1,0,1,0,1,0,1,1,3,1,1,1,2,2
130,185000,flat,90,2055,4,3,1,SU - KODADU,45.8227093,8.817578,2047,good,1,1,1,0,0,0,1,0,2,1,3,0,1,1,3,1
131,187500,flat,235,797,0,4,2,SU - KODADU,45.8323466,8.7952172,2047,renew,0,0,0,1,0,0,0,0,1,0,3,1,0,0,4,2
132,188000,flat,83,2265,2,3,1,SU - KODADU,45.8287935,8.7970804,2047,good,0,0,0,0,1,0,1,0,2,1,3,1,1,0,3,1
133,189750,flat,129,1470,2,4,2,SU - KODADU,45.8330268,8.8185331,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,1,0,4,2
134,189750,flat,113,1679,0,6,1,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,0,0,4,1
135,189750,flat,130,1459,0,5,2,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,2
136,189750,flat,129,1470,2,7,2,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,1,0,1,0,1,1,3,1,1,0,4,2
137,189750,flat,129,1470,0,4,2,SU - KODADU,45.8348268,8.8172331,2047,renew,1,0,0,0,1,0,1,0,1,1,3,1,0,0,4,2
138,189750,flat,113,1679,0,6,1,SU - KODADU,45.8338482,8.8197576,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,1
139,220000,flat,63,3492,3,2,1,SU - KODADU,45.822936,8.8105848,2047,good,1,1,1,0,0,0,1,30000,2,1,3,0,1,1,2,1
140,190000,flat,110,1727,2,3,2,SU - KODADU,45.8331482,8.8184576,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,1,1,3,2
141,190000,flat,100,1900,2,3,2,SU - KODADU,45.8278385,8.8034181,2047,renew,1,0,0,0,1,0,0,0,1,0,3,1,1,1,3,2
142,192000,flat,70,2742,1,2,1,SU - KODADU,45.8344241,8.7940015,2047,good,1,1,1,1,1,0,1,0,2,1,3,1,0,0,2,1
143,193500,flat,110,1759,0,4,2,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,2
144,193500,flat,113,1712,1,6,2,SU - KODADU,45.8331482,8.8184576,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,0,0,4,2
145,193500,flat,113,1712,0,4,2,SU - KODADU,45.8335268,8.8182331,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,0,0,4,2
146,195000,flat,90,2166,1,3,1,SU - KODADU,45.8324837,8.7945694,2047,good,1,1,0,1,0,0,1,0,2,1,3,1,0,0,3,1
147,195000,flat,94,2074,0,3,2,SU - KODADU,45.8269792,8.7922697,2047,good,0,1,0,1,1,0,1,0,2,1,3,1,0,0,3,2
148,198000,flat,90,2200,1,2,1,SU - KODADU,45.823168,8.8201563,2047,good,1,0,1,0,0,0,1,0,2,1,3,0,0,0,2,1
149,230000,flat,70,3285,1,2,1,SU - KODADU,45.822636,8.8109848,2047,good,1,1,1,0,0,0,1,30000,2,1,3,0,0,0,2,1
