,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_impurity_decrease,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,10,6.419113302230835,0.08792369242989666,0.38118686676025393,0.004696281039925173,0.22,0.43,,"{'min_impurity_decrease': 0.22, 'max_features': 0.43, 'max_depth': None}",-7.673620712028445,,,,,,,199,0.9360479608096767,0.8243004233933348,0.8512274773568249,0.8806512339991128,0.9223343036829489,0.8829122798483796,0.04200448859063088
1,0,10,6.415871667861938,0.1093291879395239,0.40707988739013673,0.0500147726672977,0.22,0.24,21,"{'min_impurity_decrease': 0.22, 'max_features': 0.24, 'max_depth': 21}",-5.794201469431556,,,,,,,270,0.932349212244834,0.8241316281506246,0.85197619819206,0.8833310265874516,0.9200401102535127,0.8823656350856964,0.040579239726667715
2,0,10,6.406601810455323,0.10834810565224859,0.40547590255737304,0.04422508826181799,0.18,0.65,15,"{'min_impurity_decrease': 0.18, 'max_features': 0.65, 'max_depth': 15}",-7.816134482274887,,,,,,,269,0.9427419566359689,0.8250724169667653,0.8477698525818814,0.8768090343322003,0.9245577544700223,0.8833902029973677,0.04456564431591543
3,0,10,6.4431897640228275,0.1912890691570583,0.377638578414917,0.00717994661988804,0.25,0.55,11,"{'min_impurity_decrease': 0.25, 'max_features': 0.55, 'max_depth': 11}",-7.816134482274887,,,,,,,268,0.9427419566359689,0.8250724169667653,0.8477698525818814,0.8768090343322003,0.9245577544700223,0.8833902029973677,0.04456564431591543
4,0,10,6.496079444885254,0.3380090020181632,0.38772897720336913,0.025254352683964636,0.17,0.31,24,"{'min_impurity_decrease': 0.17, 'max_features': 0.31, 'max_depth': 24}",-5.794201469431556,,,,,,,267,0.932349212244834,0.8241316281506246,0.85197619819206,0.8833310265874516,0.9200401102535127,0.8823656350856964,0.040579239726667715
5,0,10,6.486856937408447,0.1768357469306349,0.38420639038085935,0.011764441186352857,0.2,0.56,7,"{'min_impurity_decrease': 0.2, 'max_features': 0.56, 'max_depth': 7}",-7.816134482274887,,,,,,,266,0.9427419566359689,0.8250724169667653,0.8477698525818814,0.8768090343322003,0.9245577544700223,0.8833902029973677,0.04456564431591543
6,0,10,6.5006248474121096,0.1949367232559473,0.3802494049072266,0.00493833495335806,0.03,0.49,18,"{'min_impurity_decrease': 0.03, 'max_features': 0.49, 'max_depth': 18}",-7.673620712028445,,,,,,,265,0.9360479608096767,0.8243004233933348,0.8512274773568249,0.8806512339991128,0.9223343036829489,0.8829122798483796,0.04200448859063088
7,0,10,7.252263593673706,1.1042086437991125,0.3993229389190674,0.0384315021087158,0.23,0.26,8,"{'min_impurity_decrease': 0.23, 'max_features': 0.26, 'max_depth': 8}",-5.794201469431556,,,,,,,264,0.932349212244834,0.8241316281506246,0.85197619819206,0.8833310265874516,0.9200401102535127,0.8823656350856964,0.040579239726667715
8,0,10,7.930463886260986,1.5101950712642902,0.42000508308410645,0.054108975951561944,0.01,sqrt,26,"{'min_impurity_decrease': 0.01, 'max_features': 'sqrt', 'max_depth': 26}",-7.673620712028445,,,,,,,263,0.9360479608096767,0.8243004233933348,0.8512274773568249,0.8806512339991128,0.9223343036829489,0.8829122798483796,0.04200448859063088
9,0,10,6.442443084716797,0.08909055091024214,0.3847240924835205,0.0062487075980958455,0.09,0.27,9,"{'min_impurity_decrease': 0.09, 'max_features': 0.27, 'max_depth': 9}",-5.794201469431556,,,,,,,262,0.932349212244834,0.8241316281506246,0.85197619819206,0.8833310265874516,0.9200401102535127,0.8823656350856964,0.040579239726667715
